Country Name,Covid-19 Deaths,Cardiovascular diseases,Respiratory diseases ,Kidney diseases,Neonatal disorders ,Meningitis ,Malaria ,Interpersonal violence,HIV/AIDS,Tuberculosis,Maternal disorders,Lower respiratory infections,Alcohol use disorders,Diarrheal diseases,Poisoning,Nutritional deficiencies, Alzheimer's disease,Parkinson's disease, Acute hepatitis,Digestive diseases, Cirrhosis and other chronic liver diseases,Protein-energy malnutrition,Neoplasms,"Fire, heat",Drowning,Drug use disorders,Road injuries,Environmental heat and cold exposure,Self-harm, Conflict and terrorism,Diabetes ,
China,4634,4584273,1085273,196726,44950,6465,0,11970,31746,36566,1537,185264,19459,5440,27084,16863,320715,76990,3726,277142,152262,13099,2716551,11096,56524,11445,250025,4966,121217,0,172892,
Colombia,43495,72629,17772,9496,4255,377,55,17061,2450,908,475,7899,124,903,63,1332,13672,1959,13,11497,3984,1287,49460,200,947,127,7408,16,2731,0,7048,
Comoros,10,1143,167,117,380,70,174,67,2,329,26,450,6,278,12,66,85,18,12,299,161,62,544,16,14,2,151,5,41,0,163,
Congo,108,7096,997,701,2002,284,2102,245,4275,1961,392,2033,55,1879,69,275,309,82,32,1722,1071,259,3363,85,89,23,1521,19,423,0,1169,
Cook Islands,3,58,7,7,0,0,0,0,2,0,0,10,0,1,0,0,4,2,0,5,2,0,32,0,1,0,4,0,2,0,27,
Costa Rica,2185,6664,1425,1372,238,35,0,503,146,47,20,676,84,129,28,23,1295,219,3,1776,960,21,6049,21,132,26,841,2,389,0,576,
Cote d'Ivoire,138,22376,3642,3434,23030,2259,29398,2307,13638,7086,2270,16980,191,7489,367,756,1184,383,220,6623,3948,707,11587,510,581,38,3353,134,1960,10,3513,
Croatia,3961,24721,1878,923,62,17,0,47,8,53,2,580,268,29,18,3,2166,492,1,2234,1151,1,14024,38,77,70,372,21,694,0,1134,
Cuba,146,39755,4586,2727,180,94,0,642,337,42,53,7125,570,265,12,65,4503,917,4,4365,2036,53,27785,95,249,31,1082,18,1736,0,2020,
Cyprus,126,3112,541,335,25,3,0,21,5,5,0,169,9,22,3,7,324,94,1,364,140,6,2291,9,26,17,134,3,67,0,490,
Czechoslovakia,11711,51294,4062,1317,130,38,0,105,19,55,3,3386,445,293,72,134,5121,1005,3,4846,2320,119,30718,72,154,136,758,135,1479,0,3441,
Democratic Republic of Congo,591,89906,19997,8034,42976,6147,57160,2891,10238,46145,10119,44646,672,34003,1268,6355,4384,864,1027,24531,14393,6029,36862,1405,1963,217,29543,324,5980,1630,11354,
Denmark,1322,15330,4572,1133,110,31,0,43,24,27,1,2473,817,372,10,81,2703,600,2,2684,955,48,18488,75,32,198,294,14,668,0,1434,
Djibouti,61,1240,146,136,633,110,97,109,903,437,134,593,12,318,20,206,58,15,14,357,226,200,750,27,27,3,161,8,75,0,207,
Dominica,2,242,22,43,11,1,0,8,5,3,1,30,4,2,1,2,19,6,0,25,11,2,182,2,4,0,12,0,4,0,57,
Dominican Republic,2416,27140,1937,2280,3307,217,5,1993,1362,751,231,2010,151,558,49,464,1629,446,43,3915,2945,426,10808,144,319,53,2668,10,671,0,2965,
Ecuador,14051,21464,3670,6914,2165,118,1,1907,1207,735,263,5436,349,484,71,734,2638,738,12,6908,3905,616,17627,203,578,67,4788,14,1678,0,4951,
Egypt,7687,263873,22560,21981,5336,764,0,512,56,892,751,21371,150,8474,179,816,6918,2439,1356,69216,62635,634,57934,1496,972,82,29490,42,3105,682,20478,
El Salvador,1327,9695,1514,4083,483,52,0,3047,680,89,44,2304,874,308,11,293,1695,305,6,2432,1500,291,5905,42,213,11,1279,3,531,0,2257,
England,74185,153285,42289,6288,1285,218,0,260,191,319,31,34889,1337,1157,107,126,27257,6694,18,27005,7959,94,160593,312,244,1914,2232,102,4436,2,5102,
Estonia,234,8201,303,349,11,6,0,58,34,24,0,224,214,3,6,2,757,127,0,584,277,1,3832,54,42,128,82,53,208,0,140,
Ethiopia,1937,76975,13727,9860,77436,11283,13104,7175,26591,29874,7634,46301,647,50773,2623,8989,6433,1230,1626,35185,22772,8603,39600,2101,1745,217,9212,694,5655,165,12873,
Fiji,2,2642,412,292,150,13,0,35,9,40,15,216,2,108,2,19,73,44,2,181,87,18,810,26,59,3,90,1,84,0,1725,
Finland,598,25383,2043,706,38,16,0,83,5,55,2,775,565,51,11,12,3280,727,2,2589,1152,6,14495,70,104,291,266,98,873,0,496,
France,64777,166496,22060,12700,1142,226,0,538,457,1053,46,23096,3748,1607,213,4734,46008,7997,19,29763,10722,4581,197313,683,944,1839,4237,1875,11014,0,12806,
Gabon,64,2541,308,367,507,86,715,76,1115,474,80,697,19,268,23,68,167,43,9,603,397,63,1436,30,25,10,519,6,172,2,614,
Gambia,124,2603,424,310,1143,212,637,15,1078,722,291,1223,14,553,31,116,154,49,21,625,357,108,1070,45,37,3,259,11,129,0,330,
Georgia,2528,29709,1222,706,278,21,0,125,23,175,19,765,42,15,20,10,1721,304,8,2139,1562,4,8327,118,80,26,693,24,313,0,1374,
Germany,34150,364285,45165,35220,1098,216,0,617,421,462,35,25096,6379,4297,99,782,49557,12875,36,48420,20492,616,274088,678,465,1678,4468,150,11664,0,22363,
Ghana,335,39650,5938,4679,16014,3487,21597,774,14621,10223,1518,16306,231,6562,433,1973,1942,490,285,10229,6125,1858,18509,612,545,58,5806,131,2065,20,6173,
Greece,4881,55921,6399,4604,140,30,0,130,22,137,4,5957,42,44,21,10,6996,1567,39,4075,1366,4,35234,108,373,186,1278,24,500,0,1366,
Greenland,,123,32,7,4,1,0,5,2,3,0,12,9,1,0,1,9,4,0,24,9,1,157,2,3,2,2,2,34,0,6,
Guatemala,4820,15882,2529,6018,2834,242,0,6293,669,419,505,9875,1769,2916,245,1847,1941,406,15,8570,5521,1744,12605,176,407,218,2795,41,953,0,6671,
Guinea,81,14547,2787,1933,10932,3260,11337,987,4037,4396,2224,13549,80,6438,275,1741,931,264,260,3915,2382,1685,8426,390,511,17,2258,96,805,13,2009,
Guyana,164,2430,119,285,192,6,17,179,181,61,24,262,27,61,2,49,79,25,2,393,251,43,780,16,63,2,156,4,250,0,567,
Haiti,236,26468,3420,2371,5855,997,453,3519,5908,1286,1562,6323,383,4090,177,953,767,276,82,4384,2151,915,10517,508,1455,42,1366,162,1017,0,4245,
Honduras,3160,15015,3536,3163,1618,109,1,3321,91,558,254,1121,389,1181,56,218,1058,401,22,5662,2952,198,7743,46,230,104,1166,5,241,0,1127,
Hungary,9667,61818,5936,1821,135,50,0,144,37,61,10,1217,541,268,47,34,4850,927,3,6413,3511,16,34293,129,131,63,803,207,1902,0,2497,
Hong Kong,148,29709,1222,706,278,21,0,125,23,175,19,765,42,15,20,10,1721,304,8,2139,1562,4,8327,118,80,26,693,24,313,0,1374,
Iceland,29,724,111,33,4,1,0,2,1,1,0,102,8,5,1,2,151,37,0,62,17,2,654,2,2,14,11,1,37,0,26,
India,149218,2574410,1168381,222922,438004,34736,33372,40954,46298,422634,41843,433661,23261,632345,3945,26868,129011,45305,30987,464914,270037,13384,932587,25876,54046,8465,211975,11348,195336,688,273089,
Indonesia,22329,651481,100930,42131,38125,4715,637,2261,5603,76549,5264,44317,653,59589,940,20348,24381,7616,5560,126347,88670,18641,229524,1455,5011,589,37004,132,7658,57,106333,
Iran,55337,173601,16835,12546,7347,577,0,2209,1177,818,214,10219,250,962,778,230,13910,2848,466,11482,6832,173,66792,1763,866,2918,21122,71,4172,38,14738,
Iraq,12824,79952,3292,7887,7270,427,0,4816,82,942,352,3178,57,629,125,104,3259,842,114,3656,2720,91,24413,955,827,585,5603,15,2075,1779,9257,
Ireland,2248,10347,2548,700,74,10,0,32,9,30,2,1713,95,49,10,10,1657,407,1,1170,388,6,10384,34,45,200,166,7,435,0,502,
Israel,3356,12393,2027,2765,226,28,0,184,37,26,9,1739,65,386,8,52,2777,605,3,2067,756,43,14627,50,47,63,610,16,545,6,2647,
