;provinsi;year;kebebasan_sipil;hak_politik;lembaga_demokrasi
28;SULAWESI TENGGARA;2018;79.77;67.59;78.16
14;DI YOGYAKARTA;2019;92.9;72.51;78.25
6;SUMATERA SELATAN;2014;86.09;63.57;78.53
15;JAWA TIMUR;2014;81.62;56.29;78.54
0;INDONESIA;2019;77.2;70.71;78.73
13;JAWA TENGAH;2017;69.07;67.24;78.82
32;MALUKU UTARA;2018;78.94;62.39;78.92
24;KALIMANTAN UTARA;2017;98.57;68.54;78.93
1;ACEH;2019;93.28;65.22;79.08
8;LAMPUNG;2012;94.14;50.6;79.16
8;LAMPUNG;2019;78.46;63.7;79.22
21;KALIMANTAN TENGAH;2019;86.31;78.24;79.32
19;NUSA TENGGARA TIMUR;2017;79.69;69.75;79.39
16;BANTEN;2018;86.59;60.11;79.4
28;GORONTALO;2014;82.19;63.67;79.41
17;BALI;2014;92.16;61.27;79.56
27;SULAWESI SELATAN;2018;72.44;64.05;79.75
3;SUMATERA BARAT;2011;60.57;59.21;79.83
8;LAMPUNG;2020;68.55;71.64;79.95
9;KEP. BANGKA BELITUNG;2016;87.65;81.09;80.2
24;KALIMANTAN UTARA;2020;92.08;65.99;80.28
29;SULAWESI BARAT;2014;90.22;63.64;80.39
14;DI YOGYAKARTA;2020;96.46;70.54;80.43
24;KALIMANTAN UTARA;2019;96.6;74.92;80.46
15;JAWA TIMUR;2019;72.14;80.25;80.55
21;KALIMANTAN TENGAH;2018;90.09;50.46;80.65
24;SULAWESI UTARA;2012;95.64;58.65;80.77
13;JAWA TENGAH;2014;87.87;67.08;80.77
19;NUSA TENGGARA TIMUR;2011;96.79;47.56;80.97
9;KEP. BANGKA BELITUNG;2012;83.09;51.21;80.97
15;JAWA TIMUR;2020;80.51;56.43;81.09
3;SUMATERA BARAT;2012;57.1;50.85;81.32
27;SULAWESI SELATAN;2019;68.32;65.61;81.34
15;JAWA TIMUR;2015;85.26;67.44;81.39
21;KALIMANTAN TENGAH;2014;92.93;66.42;81.48
12;JAWA BARAT;2011;78.92;46.42;81.55
8;LAMPUNG;2013;70.75;45.47;81.58
29;GORONTALO;2015;81.35;69.97;81.81
4;RIAU;2012;80.21;47.16;81.89
3;SUMATERA BARAT;2015;52.99;69.77;82.01
26;SULAWESI TENGAH;2020;97.93;54.46;82.04
15;JAWA TIMUR;2013;71.37;35.43;82.1
23;KALIMANTAN TIMUR;2019;88.5;66.27;82.17
5;JAMBI;2012;86.23;46.6;82.18
5;JAMBI;2011;91.62;46.27;82.27
4;RIAU;2013;77.71;52.19;82.32
14;DI YOGYAKARTA;2015;90.41;77.98;82.38
21;KALIMANTAN TENGAH;2017;95.58;56.69;82.5
14;DI YOGYAKARTA;2012;87.39;55.52;82.52
22;KALIMANTAN SELATAN;2013;58.03;56.35;82.54
22;KALIMANTAN SELATAN;2019;68.01;86.52;82.67
22;KALIMANTAN SELATAN;2011;56.33;64.25;82.76
14;DI YOGYAKARTA;2011;87.22;52.35;82.81
22;KALIMANTAN SELATAN;2015;54.15;85.77;83.17
4;RIAU;2011;83.12;52.9;83.18
11;DKI JAKARTA;2015;89.64;83.19;83.26
25;SULAWESI TENGAH;2014;86.56;59.01;83.42
4;RIAU;2020;86.08;65.4;83.46
30;SULAWESI BARAT;2019;81.58;70.22;83.6
8;LAMPUNG;2014;72.06;63.69;83.66
14;DI YOGYAKARTA;2013;90.78;50.65;83.69
19;NUSA TENGGARA TIMUR;2012;91.06;50.89;84.15
4;RIAU;2019;85.15;61.68;84.19
19;NUSA TENGGARA TIMUR;2018;94;71.85;84.28
26;SULAWESI SELATAN;2012;87.07;43.74;84.66
16;BANTEN;2013;81.39;51.03;85
17;BALI;2011;95.44;50.08;85.79
21;KALIMANTAN TENGAH;2012;68.44;51.05;85.82
20;KALIMANTAN BARAT;2014;98.44;63.12;85.84
17;BALI;2012;94.18;45;86.01
18;NUSA TENGGARA BARAT;2018;78.28;62.08;86.11
14;DI YOGYAKARTA;2016;90;81.59;86.37
5;JAMBI;2020;82.71;62.98;86.45
26;SULAWESI TENGAH;2018;91.9;54.94;86.72
26;SULAWESI SELATAN;2011;80.97;39.33;86.87
9;KEP. BANGKA BELITUNG;2014;89.8;56.48;87.01
11;DKI JAKARTA;2017;87.73;80.86;87.12
16;BANTEN;2011;80.41;44.57;87.18
18;NUSA TENGGARA BARAT;2020;78.38;62.88;87.21
16;BANTEN;2014;81.1;63.68;87.22
20;KALIMANTAN BARAT;2011;97.15;49.34;87.38
11;DKI JAKARTA;2018;95.09;75.43;87.82
18;NUSA TENGGARA BARAT;2015;51.59;61.11;88.36
22;KALIMANTAN SELATAN;2018;69.26;83.03;88.37
3;SUMATERA BARAT;2018;55.32;62.84;88.52
3;SUMATERA BARAT;2014;47.21;61.82;88.56
1;ACEH;2014;69.76;63.94;88.73
22;KALIMANTAN SELATAN;2017;60.16;81.09;88.79
11;DKI JAKARTA;2012;88.11;62.52;88.81
14;DI YOGYAKARTA;2014;86.25;76.07;88.82
22;KALIMANTAN SELATAN;2012;49.51;52.59;89.33
4;RIAU;2018;86.88;62.77;89.47
5;JAMBI;2014;78.23;54.01;89.48
17;BALI;2018;94.72;68.08;89.55
21;KALIMANTAN TENGAH;2011;92.56;54.73;90.04
17;BALI;2019;90.6;68.38;90.42
13;JAWA TENGAH;2019;78.43;67.91;90.5
29;GORONTALO;2020;86.42;75.89;90.81
11;DKI JAKARTA;2020;93.27;84.95;90.86
3;SUMATERA BARAT;2020;66.59;66.8;90.91
18;NUSA TENGGARA BARAT;2019;78.36;66.14;91.16
26;SULAWESI TENGAH;2019;96.19;53.21;91.68
11;DKI JAKARTA;2019;91.01;83.86;91.89
3;SUMATERA BARAT;2019;56.58;61.06;92.21
3;SUMATERA BARAT;2017;61.66;61.08;92.72
9;KEP. BANGKA BELITUNG;2020;79.12;66.2;92.97
11;DKI JAKARTA;2014;91.72;73.94;92.97
11;DKI JAKARTA;2011;89.94;58.32;93.5
18;NUSA TENGGARA BARAT;2017;79.4;62.08;93.98
